timestamp_brussels,timestamp_cec,timestamp_utc,ActualTotalLoad_MW
2022-01-01 23:45:00+01:00,2022-01-01 23:45:00+01:00,2022-01-01 22:45:00+00:00,44132.0
2022-01-02 00:00:00+01:00,2022-01-02 00:00:00+01:00,2022-01-01 23:00:00+00:00,43332.0
2022-01-02 00:15:00+01:00,2022-01-02 00:15:00+01:00,2022-01-01 23:15:00+00:00,43119.0
2022-01-02 00:30:00+01:00,2022-01-02 00:30:00+01:00,2022-01-01 23:30:00+00:00,43260.0
2022-01-02 00:45:00+01:00,2022-01-02 00:45:00+01:00,2022-01-01 23:45:00+00:00,42680.0
2022-01-02 01:00:00+01:00,2022-01-02 01:00:00+01:00,2022-01-02 00:00:00+00:00,42634.0
2022-01-02 01:15:00+01:00,2022-01-02 01:15:00+01:00,2022-01-02 00:15:00+00:00,41874.0
2022-01-02 01:30:00+01:00,2022-01-02 01:30:00+01:00,2022-01-02 00:30:00+00:00,41473.0
2022-01-02 01:45:00+01:00,2022-01-02 01:45:00+01:00,2022-01-02 00:45:00+00:00,41594.0
2022-01-02 02:00:00+01:00,2022-01-02 02:00:00+01:00,2022-01-02 01:00:00+00:00,41492.0
2022-01-02 02:15:00+01:00,2022-01-02 02:15:00+01:00,2022-01-02 01:15:00+00:00,41185.0
2022-01-02 02:30:00+01:00,2022-01-02 02:30:00+01:00,2022-01-02 01:30:00+00:00,41083.0
2022-01-02 02:45:00+01:00,2022-01-02 02:45:00+01:00,2022-01-02 01:45:00+00:00,40900.0
2022-01-02 03:00:00+01:00,2022-01-02 03:00:00+01:00,2022-01-02 02:00:00+00:00,40822.0
2022-01-02 03:15:00+01:00,2022-01-02 03:15:00+01:00,2022-01-02 02:15:00+00:00,40848.0
2022-01-02 03:30:00+01:00,2022-01-02 03:30:00+01:00,2022-01-02 02:30:00+00:00,40962.0
2022-01-02 03:45:00+01:00,2022-01-02 03:45:00+01:00,2022-01-02 02:45:00+00:00,41102.0
2022-01-02 04:00:00+01:00,2022-01-02 04:00:00+01:00,2022-01-02 03:00:00+00:00,41308.0
2022-01-02 04:15:00+01:00,2022-01-02 04:15:00+01:00,2022-01-02 03:15:00+00:00,40873.0
2022-01-02 04:30:00+01:00,2022-01-02 04:30:00+01:00,2022-01-02 03:30:00+00:00,41106.0
2022-01-02 04:45:00+01:00,2022-01-02 04:45:00+01:00,2022-01-02 03:45:00+00:00,41155.0
2022-01-02 05:00:00+01:00,2022-01-02 05:00:00+01:00,2022-01-02 04:00:00+00:00,41348.0
2022-01-02 05:15:00+01:00,2022-01-02 05:15:00+01:00,2022-01-02 04:15:00+00:00,41013.0
2022-01-02 05:30:00+01:00,2022-01-02 05:30:00+01:00,2022-01-02 04:30:00+00:00,41113.0
2022-01-02 05:45:00+01:00,2022-01-02 05:45:00+01:00,2022-01-02 04:45:00+00:00,41133.0
2022-01-02 06:00:00+01:00,2022-01-02 06:00:00+01:00,2022-01-02 05:00:00+00:00,40715.0
2022-01-02 06:15:00+01:00,2022-01-02 06:15:00+01:00,2022-01-02 05:15:00+00:00,40633.0
2022-01-02 06:30:00+01:00,2022-01-02 06:30:00+01:00,2022-01-02 05:30:00+00:00,40775.0
2022-01-02 06:45:00+01:00,2022-01-02 06:45:00+01:00,2022-01-02 05:45:00+00:00,41139.0
2022-01-02 07:00:00+01:00,2022-01-02 07:00:00+01:00,2022-01-02 06:00:00+00:00,41726.0
2022-01-02 07:15:00+01:00,2022-01-02 07:15:00+01:00,2022-01-02 06:15:00+00:00,42322.0
2022-01-02 07:30:00+01:00,2022-01-02 07:30:00+01:00,2022-01-02 06:30:00+00:00,42993.0
2022-01-02 07:45:00+01:00,2022-01-02 07:45:00+01:00,2022-01-02 06:45:00+00:00,43700.0
2022-01-02 08:00:00+01:00,2022-01-02 08:00:00+01:00,2022-01-02 07:00:00+00:00,44645.0
2022-01-02 08:15:00+01:00,2022-01-02 08:15:00+01:00,2022-01-02 07:15:00+00:00,45426.0
2022-01-02 08:30:00+01:00,2022-01-02 08:30:00+01:00,2022-01-02 07:30:00+00:00,46322.0
2022-01-02 08:45:00+01:00,2022-01-02 08:45:00+01:00,2022-01-02 07:45:00+00:00,47074.0
2022-01-02 09:00:00+01:00,2022-01-02 09:00:00+01:00,2022-01-02 08:00:00+00:00,48180.0
2022-01-02 09:15:00+01:00,2022-01-02 09:15:00+01:00,2022-01-02 08:15:00+00:00,48677.0
2022-01-02 09:30:00+01:00,2022-01-02 09:30:00+01:00,2022-01-02 08:30:00+00:00,48947.0
2022-01-02 09:45:00+01:00,2022-01-02 09:45:00+01:00,2022-01-02 08:45:00+00:00,49425.0
2022-01-02 10:00:00+01:00,2022-01-02 10:00:00+01:00,2022-01-02 09:00:00+00:00,50325.0
2022-01-02 10:15:00+01:00,2022-01-02 10:15:00+01:00,2022-01-02 09:15:00+00:00,50517.0
2022-01-02 10:30:00+01:00,2022-01-02 10:30:00+01:00,2022-01-02 09:30:00+00:00,51402.0
2022-01-02 10:45:00+01:00,2022-01-02 10:45:00+01:00,2022-01-02 09:45:00+00:00,52054.0
2022-01-02 11:00:00+01:00,2022-01-02 11:00:00+01:00,2022-01-02 10:00:00+00:00,53047.0
2022-01-02 11:15:00+01:00,2022-01-02 11:15:00+01:00,2022-01-02 10:15:00+00:00,54158.0
2022-01-02 11:30:00+01:00,2022-01-02 11:30:00+01:00,2022-01-02 10:30:00+00:00,54663.0
2022-01-02 11:45:00+01:00,2022-01-02 11:45:00+01:00,2022-01-02 10:45:00+00:00,54772.0
2022-01-02 12:00:00+01:00,2022-01-02 12:00:00+01:00,2022-01-02 11:00:00+00:00,55291.0
2022-01-02 12:15:00+01:00,2022-01-02 12:15:00+01:00,2022-01-02 11:15:00+00:00,55182.0
2022-01-02 12:30:00+01:00,2022-01-02 12:30:00+01:00,2022-01-02 11:30:00+00:00,55053.0
2022-01-02 12:45:00+01:00,2022-01-02 12:45:00+01:00,2022-01-02 11:45:00+00:00,54753.0
2022-01-02 13:00:00+01:00,2022-01-02 13:00:00+01:00,2022-01-02 12:00:00+00:00,54227.0
2022-01-02 13:15:00+01:00,2022-01-02 13:15:00+01:00,2022-01-02 12:15:00+00:00,53851.0
2022-01-02 13:30:00+01:00,2022-01-02 13:30:00+01:00,2022-01-02 12:30:00+00:00,53551.0
2022-01-02 13:45:00+01:00,2022-01-02 13:45:00+01:00,2022-01-02 12:45:00+00:00,53757.0
2022-01-02 14:00:00+01:00,2022-01-02 14:00:00+01:00,2022-01-02 13:00:00+00:00,53492.0
2022-01-02 14:15:00+01:00,2022-01-02 14:15:00+01:00,2022-01-02 13:15:00+00:00,53264.0
2022-01-02 14:30:00+01:00,2022-01-02 14:30:00+01:00,2022-01-02 13:30:00+00:00,53001.0
2022-01-02 14:45:00+01:00,2022-01-02 14:45:00+01:00,2022-01-02 13:45:00+00:00,53008.0
2022-01-02 15:00:00+01:00,2022-01-02 15:00:00+01:00,2022-01-02 14:00:00+00:00,53593.0
2022-01-02 15:15:00+01:00,2022-01-02 15:15:00+01:00,2022-01-02 14:15:00+00:00,53574.0
2022-01-02 15:30:00+01:00,2022-01-02 15:30:00+01:00,2022-01-02 14:30:00+00:00,53803.0
2022-01-02 15:45:00+01:00,2022-01-02 15:45:00+01:00,2022-01-02 14:45:00+00:00,53976.0
2022-01-02 16:00:00+01:00,2022-01-02 16:00:00+01:00,2022-01-02 15:00:00+00:00,55038.0
2022-01-02 16:15:00+01:00,2022-01-02 16:15:00+01:00,2022-01-02 15:15:00+00:00,55576.0
2022-01-02 16:30:00+01:00,2022-01-02 16:30:00+01:00,2022-01-02 15:30:00+00:00,56136.0
2022-01-02 16:45:00+01:00,2022-01-02 16:45:00+01:00,2022-01-02 15:45:00+00:00,57393.0
2022-01-02 17:00:00+01:00,2022-01-02 17:00:00+01:00,2022-01-02 16:00:00+00:00,58502.0
2022-01-02 17:15:00+01:00,2022-01-02 17:15:00+01:00,2022-01-02 16:15:00+00:00,59009.0
2022-01-02 17:30:00+01:00,2022-01-02 17:30:00+01:00,2022-01-02 16:30:00+00:00,59458.0
2022-01-02 17:45:00+01:00,2022-01-02 17:45:00+01:00,2022-01-02 16:45:00+00:00,59567.0
2022-01-02 18:00:00+01:00,2022-01-02 18:00:00+01:00,2022-01-02 17:00:00+00:00,59349.0
2022-01-02 18:15:00+01:00,2022-01-02 18:15:00+01:00,2022-01-02 17:15:00+00:00,59342.0
2022-01-02 18:30:00+01:00,2022-01-02 18:30:00+01:00,2022-01-02 17:30:00+00:00,59461.0
2022-01-02 18:45:00+01:00,2022-01-02 18:45:00+01:00,2022-01-02 17:45:00+00:00,59112.0
2022-01-02 19:00:00+01:00,2022-01-02 19:00:00+01:00,2022-01-02 18:00:00+00:00,58590.0
2022-01-02 19:15:00+01:00,2022-01-02 19:15:00+01:00,2022-01-02 18:15:00+00:00,58175.0
2022-01-02 19:30:00+01:00,2022-01-02 19:30:00+01:00,2022-01-02 18:30:00+00:00,57805.0
2022-01-02 19:45:00+01:00,2022-01-02 19:45:00+01:00,2022-01-02 18:45:00+00:00,57038.0
2022-01-02 20:00:00+01:00,2022-01-02 20:00:00+01:00,2022-01-02 19:00:00+00:00,56386.0
2022-01-02 20:15:00+01:00,2022-01-02 20:15:00+01:00,2022-01-02 19:15:00+00:00,55682.0
2022-01-02 20:30:00+01:00,2022-01-02 20:30:00+01:00,2022-01-02 19:30:00+00:00,54946.0
2022-01-02 20:45:00+01:00,2022-01-02 20:45:00+01:00,2022-01-02 19:45:00+00:00,54239.0
2022-01-02 21:00:00+01:00,2022-01-02 21:00:00+01:00,2022-01-02 20:00:00+00:00,53619.0
2022-01-02 21:15:00+01:00,2022-01-02 21:15:00+01:00,2022-01-02 20:15:00+00:00,53194.0
2022-01-02 21:30:00+01:00,2022-01-02 21:30:00+01:00,2022-01-02 20:30:00+00:00,52733.0
2022-01-02 21:45:00+01:00,2022-01-02 21:45:00+01:00,2022-01-02 20:45:00+00:00,52295.0
2022-01-02 22:00:00+01:00,2022-01-02 22:00:00+01:00,2022-01-02 21:00:00+00:00,52509.0
2022-01-02 22:15:00+01:00,2022-01-02 22:15:00+01:00,2022-01-02 21:15:00+00:00,51988.0
2022-01-02 22:30:00+01:00,2022-01-02 22:30:00+01:00,2022-01-02 21:30:00+00:00,51128.0
2022-01-02 22:45:00+01:00,2022-01-02 22:45:00+01:00,2022-01-02 21:45:00+00:00,50077.0
2022-01-02 23:00:00+01:00,2022-01-02 23:00:00+01:00,2022-01-02 22:00:00+00:00,49469.0
2022-01-02 23:15:00+01:00,2022-01-02 23:15:00+01:00,2022-01-02 22:15:00+00:00,48527.0
2022-01-02 23:30:00+01:00,2022-01-02 23:30:00+01:00,2022-01-02 22:30:00+00:00,48044.0
2022-01-02 23:45:00+01:00,2022-01-02 23:45:00+01:00,2022-01-02 22:45:00+00:00,47298.0
2022-01-03 00:00:00+01:00,2022-01-03 00:00:00+01:00,2022-01-02 23:00:00+00:00,46396.0
2022-01-03 00:15:00+01:00,2022-01-03 00:15:00+01:00,2022-01-02 23:15:00+00:00,46081.0
2022-01-03 00:30:00+01:00,2022-01-03 00:30:00+01:00,2022-01-02 23:30:00+00:00,45714.0
2022-01-03 00:45:00+01:00,2022-01-03 00:45:00+01:00,2022-01-02 23:45:00+00:00,45070.0
2022-01-03 01:00:00+01:00,2022-01-03 01:00:00+01:00,2022-01-03 00:00:00+00:00,44693.0
2022-01-03 01:15:00+01:00,2022-01-03 01:15:00+01:00,2022-01-03 00:15:00+00:00,44133.0
2022-01-03 01:30:00+01:00,2022-01-03 01:30:00+01:00,2022-01-03 00:30:00+00:00,43986.0
2022-01-03 01:45:00+01:00,2022-01-03 01:45:00+01:00,2022-01-03 00:45:00+00:00,43416.0
2022-01-03 02:00:00+01:00,2022-01-03 02:00:00+01:00,2022-01-03 01:00:00+00:00,43104.0
2022-01-03 02:15:00+01:00,2022-01-03 02:15:00+01:00,2022-01-03 01:15:00+00:00,42852.0
2022-01-03 02:30:00+01:00,2022-01-03 02:30:00+01:00,2022-01-03 01:30:00+00:00,43012.0
2022-01-03 02:45:00+01:00,2022-01-03 02:45:00+01:00,2022-01-03 01:45:00+00:00,42957.0
2022-01-03 03:00:00+01:00,2022-01-03 03:00:00+01:00,2022-01-03 02:00:00+00:00,43357.0
2022-01-03 03:15:00+01:00,2022-01-03 03:15:00+01:00,2022-01-03 02:15:00+00:00,43251.0
2022-01-03 03:30:00+01:00,2022-01-03 03:30:00+01:00,2022-01-03 02:30:00+00:00,43516.0
2022-01-03 03:45:00+01:00,2022-01-03 03:45:00+01:00,2022-01-03 02:45:00+00:00,43934.0
2022-01-03 04:00:00+01:00,2022-01-03 04:00:00+01:00,2022-01-03 03:00:00+00:00,44283.0
2022-01-03 04:15:00+01:00,2022-01-03 04:15:00+01:00,2022-01-03 03:15:00+00:00,44504.0
2022-01-03 04:30:00+01:00,2022-01-03 04:30:00+01:00,2022-01-03 03:30:00+00:00,45043.0
2022-01-03 04:45:00+01:00,2022-01-03 04:45:00+01:00,2022-01-03 03:45:00+00:00,46130.0
2022-01-03 05:00:00+01:00,2022-01-03 05:00:00+01:00,2022-01-03 04:00:00+00:00,47656.0
2022-01-03 05:15:00+01:00,2022-01-03 05:15:00+01:00,2022-01-03 04:15:00+00:00,48289.0
2022-01-03 05:30:00+01:00,2022-01-03 05:30:00+01:00,2022-01-03 04:30:00+00:00,48898.0
2022-01-03 05:45:00+01:00,2022-01-03 05:45:00+01:00,2022-01-03 04:45:00+00:00,50443.0
2022-01-03 06:00:00+01:00,2022-01-03 06:00:00+01:00,2022-01-03 05:00:00+00:00,53333.0
2022-01-03 06:15:00+01:00,2022-01-03 06:15:00+01:00,2022-01-03 05:15:00+00:00,55044.0
2022-01-03 06:30:00+01:00,2022-01-03 06:30:00+01:00,2022-01-03 05:30:00+00:00,56902.0
2022-01-03 06:45:00+01:00,2022-01-03 06:45:00+01:00,2022-01-03 05:45:00+00:00,58494.0
2022-01-03 07:00:00+01:00,2022-01-03 07:00:00+01:00,2022-01-03 06:00:00+00:00,60367.0
2022-01-03 07:15:00+01:00,2022-01-03 07:15:00+01:00,2022-01-03 06:15:00+00:00,61642.0
2022-01-03 07:30:00+01:00,2022-01-03 07:30:00+01:00,2022-01-03 06:30:00+00:00,62729.0
2022-01-03 07:45:00+01:00,2022-01-03 07:45:00+01:00,2022-01-03 06:45:00+00:00,64025.0
2022-01-03 08:00:00+01:00,2022-01-03 08:00:00+01:00,2022-01-03 07:00:00+00:00,64949.0
2022-01-03 08:15:00+01:00,2022-01-03 08:15:00+01:00,2022-01-03 07:15:00+00:00,65551.0
2022-01-03 08:30:00+01:00,2022-01-03 08:30:00+01:00,2022-01-03 07:30:00+00:00,65962.0
2022-01-03 08:45:00+01:00,2022-01-03 08:45:00+01:00,2022-01-03 07:45:00+00:00,66391.0
2022-01-03 09:00:00+01:00,2022-01-03 09:00:00+01:00,2022-01-03 08:00:00+00:00,66765.0
2022-01-03 09:15:00+01:00,2022-01-03 09:15:00+01:00,2022-01-03 08:15:00+00:00,66912.0
2022-01-03 09:30:00+01:00,2022-01-03 09:30:00+01:00,2022-01-03 08:30:00+00:00,67296.0
2022-01-03 09:45:00+01:00,2022-01-03 09:45:00+01:00,2022-01-03 08:45:00+00:00,67577.0
2022-01-03 10:00:00+01:00,2022-01-03 10:00:00+01:00,2022-01-03 09:00:00+00:00,68039.0
2022-01-03 10:15:00+01:00,2022-01-03 10:15:00+01:00,2022-01-03 09:15:00+00:00,68599.0
2022-01-03 10:30:00+01:00,2022-01-03 10:30:00+01:00,2022-01-03 09:30:00+00:00,68840.0
2022-01-03 10:45:00+01:00,2022-01-03 10:45:00+01:00,2022-01-03 09:45:00+00:00,68858.0
2022-01-03 11:00:00+01:00,2022-01-03 11:00:00+01:00,2022-01-03 10:00:00+00:00,69364.0
2022-01-03 11:15:00+01:00,2022-01-03 11:15:00+01:00,2022-01-03 10:15:00+00:00,70118.0
2022-01-03 11:30:00+01:00,2022-01-03 11:30:00+01:00,2022-01-03 10:30:00+00:00,70535.0
2022-01-03 11:45:00+01:00,2022-01-03 11:45:00+01:00,2022-01-03 10:45:00+00:00,70713.0
2022-01-03 12:00:00+01:00,2022-01-03 12:00:00+01:00,2022-01-03 11:00:00+00:00,70929.0
2022-01-03 12:15:00+01:00,2022-01-03 12:15:00+01:00,2022-01-03 11:15:00+00:00,70837.0
2022-01-03 12:30:00+01:00,2022-01-03 12:30:00+01:00,2022-01-03 11:30:00+00:00,70824.0
2022-01-03 12:45:00+01:00,2022-01-03 12:45:00+01:00,2022-01-03 11:45:00+00:00,70647.0
2022-01-03 13:00:00+01:00,2022-01-03 13:00:00+01:00,2022-01-03 12:00:00+00:00,70720.0
2022-01-03 13:15:00+01:00,2022-01-03 13:15:00+01:00,2022-01-03 12:15:00+00:00,70200.0
2022-01-03 13:30:00+01:00,2022-01-03 13:30:00+01:00,2022-01-03 12:30:00+00:00,69745.0
2022-01-03 13:45:00+01:00,2022-01-03 13:45:00+01:00,2022-01-03 12:45:00+00:00,69297.0
